                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49354,                 3.0207,                 1.0257,                0.55198,                0.89076,                0.79262,                0.78713,                0.24013,                 5.3202,                0.77516,             0.00015719,             0.00015719,             0.00015719
                      2,                0.43711,                 1.6218,                0.92808,                0.60033,                      1,                0.70756,                0.68824,                0.29339,                  1.724,                 0.7737,             0.00030698,             0.00030698,             0.00030698
                      3,                0.45464,                 1.3526,                0.91045,                0.72402,                    0.5,                0.73381,                0.65921,                0.46889,                 2.3053,                0.85123,             0.00043413,             0.00043413,             0.00043413
                      4,                0.45616,                 1.3515,                0.90643,                0.69496,                0.64939,                0.77815,                 0.7126,                0.38686,                 1.5013,                0.80438,             0.00053865,             0.00053865,             0.00053865
                      5,                0.43741,                  1.171,                0.87592,                0.58374,                 0.8132,                   0.74,                0.73171,                0.33872,                 2.2131,                0.78191,             0.00062053,             0.00062053,             0.00062053
                      6,                0.36945,                 1.0793,                0.82351,                0.69812,                0.59933,                0.88389,                0.82563,                0.29542,                 2.7278,                0.76667,             0.00067978,             0.00067978,             0.00067978
                      7,                0.35855,                0.92065,                0.83938,                0.87146,                0.83333,                 0.8285,                 0.8285,                0.28008,                 1.2416,                0.75944,             0.00071639,             0.00071639,             0.00071639
                      8,                0.37138,                0.79457,                0.84473,                0.97437,                0.83333,                0.83462,                0.78839,                0.34099,                0.89178,                0.76675,             0.00073036,             0.00073036,             0.00073036
                      9,                 0.3681,                0.73112,                0.84359,                0.95724,                0.83333,                0.93944,                0.91176,                0.34044,                0.68852,                0.77726,             0.00067449,             0.00067449,             0.00067449
                     10,                 0.3812,                0.70466,                0.84797,                0.89802,                0.83333,                0.91167,                0.89509,                0.33211,                 0.8207,                0.77986,             0.00058017,             0.00058017,             0.00058017
                     11,                0.35274,                0.61078,                0.84812,                0.96547,                0.83333,                0.93944,                0.92837,                 0.2753,                0.69536,                0.76056,             0.00048586,             0.00048586,             0.00048586
                     12,                0.33044,                 0.6113,                0.82023,                0.89763,                0.83333,                0.91167,                0.87855,                0.28836,                0.82508,                0.76931,             0.00039155,             0.00039155,             0.00039155
                     13,                0.31422,                0.50911,                0.83279,                0.96815,                0.85478,                  0.995,                0.95361,                0.27931,                0.66853,                0.77289,             0.00029723,             0.00029723,             0.00029723
                     14,                 0.3046,                0.48335,                0.81764,                0.89183,                0.95574,                  0.995,                0.97843,                0.26729,                0.58001,                0.76833,             0.00020292,             0.00020292,             0.00020292
                     15,                0.31256,                0.48389,                0.82833,                0.93265,                0.99306,                  0.995,                0.97848,                 0.2537,                0.47389,                0.76578,              0.0001086,              0.0001086,              0.0001086
